234 BUB1 MCM6 919.0
235 BUB1 DEPDC1B 808.0
236 BUB1 CENPU 893.0
237 BUB1 HIST1H2AC 466.0
238 BUB1 ORC4 509.0
239 BUB1 MLF1 519.0
240 BUB1 STAG1 531.0
241 BUB1 ZC3H6 552.0
242 BUB1 HIST1H2AE 576.0
243 BUB1 CENPW 579.0
244 BUB1 CHEK2 640.0
245 BUB1 HELLS 693.0
246 BUB1 PCNA 733.0
247 BUB1 MAPRE1 782.0
248 BUB1 KPNA2 786.0
249 BUB1 UBE2T 792.0
250 BUB1 CENPK 815.0
251 BUB1 FEN1 831.0
252 BUB1 DTL 838.0
253 BUB1 UHRF1 852.0
254 BUB1 MCM10 882.0
255 BUB1 TYMS 894.0
256 BUB1 CKS2 903.0
257 BUB1 WDHD1 920.0
258 BUB1 CDKN3 930.0
259 BUB1 NUSAP1 967.0
260 BUB1 PBK 970.0
261 BUB1 ZWINT 983.0
262 BUB1 TOP2A 991.0
263 BUD13 SNRPD3 991.0
264 BUD13 SNRPA1 998.0
265 BUD13 SNAPC4 404.0
266 BUD13 PACSIN3 522.0
267 BUD13 SIK3 557.0
268 BUD13 MAT1A 639.0
269 BUD13 TRIB1 662.0
270 BUD13 PPIL1 843.0
271 C12orf5 TXN 425.0
272 C12orf5 H6PD 455.0
273 C12orf5 TMCO6 494.0
274 C12orf5 TXNRD1 536.0
275 C12orf5 SLC2A1 620.0
276 C12orf5 HKDC1 695.0
277 C12orf5 HK1 802.0
278 C15orf40 EPB41L4A 465.0
279 C15orf40 C7orf55 531.0
280 C5orf45 PIH1D1 414.0
281 C7orf55 COX4I1 478.0
282 C8orf34 SDCBP 462.0
283 CA12 SLC2A1 405.0
284 CA12 PSMC3 434.0
285 CA12 KRT18 435.0
286 CAPG MIF 612.0
287 CAPG DAZAP1 408.0
288 CAPG LGALS3 456.0
289 CAPG COTL1 731.0
290 CAPG CFL1 549.0
291 CAPG MTPN 720.0
292 CASP1 SIRT1 447.0
293 CASP1 LGALS3 401.0
294 CASP1 GAB1 422.0
295 CASP1 IL1A 981.0
296 CASP1 IL1B 999.0
297 CASP1 STAT3 534.0
298 CASP1 FCGR2A 418.0
299 CASP1 PPARG 457.0
300 CASP1 CCR5 526.0
301 CASP1 HSPA4 447.0
302 CASP1 CXCL10 637.0
303 CASP1 CYCS 665.0
304 CASP1 DFNA5 547.0
305 CASP1 CCL20 413.0
306 CASP1 STAT1 653.0
307 CASP1 CXCL9 458.0
308 CASP1 CHUK 514.0
309 CASP1 JUN 547.0
310 CASP1 TLR4 875.0
311 CASP1 TXN 566.0
312 CASP1 IL6 822.0
313 CASP1 TNF 838.0
314 CASP1 RHOA 930.0
315 CASP1 ERN1 419.0
316 CASP1 IL32 433.0
317 CASP1 MRC1 451.0
318 CASP1 ITGAX 577.0
319 CASP1 ITGAM 695.0
320 CATSPERB RBKS 435.0
321 CAV2 OPTN 431.0
322 CAV2 HTR2A 445.0
323 CAV2 SLC1A1 453.0
324 CAV2 MET 475.0
325 CAV2 ITGB5 651.0
326 CBSL GSS 487.0
327 CBSL GCLC 756.0
328 CBSL PEMT 528.0
329 CBSL TYMS 573.0
330 CBSL CHDH 528.0
331 CBSL MOXD1 497.0
332 CBSL GCLM 424.0
333 CBSL MAT1A 710.0
334 CBSL GNMT 712.0
335 CBSL TXN 580.0
336 CBSL MTHFR 896.0
337 CBSL TXNRD1 422.0
338 CBSL H6PD 432.0
339 CBSL SOD2 527.0
340 CCDC146 DYNLT1 470.0
341 CCDC146 RUNDC3B 549.0
342 CCDC146 CCDC38 624.0
343 CCDC17 PRDX1 427.0
344 CCDC38 HHIP 406.0
345 CCDC38 LYPLAL1 412.0
346 CCL19 CXCL6 503.0
347 CCL19 LYVE1 543.0
348 CCL19 IL1A 938.0
349 CCL19 IL1B 955.0
350 CCL19 STAT3 756.0
351 CCL19 CCR5 916.0
352 CCL19 CTLA4 529.0
353 CCL19 CXCL10 895.0
354 CCL19 SAG 452.0
355 CCL19 TLR4 478.0
356 CCL19 ITGAM 535.0
357 CCL19 CD83 582.0
358 CCL19 CCL23 632.0
359 CCL19 ITGAX 634.0
360 CCL19 CXCL12 796.0
361 CCL19 CXCL9 866.0
362 CCL19 CCL20 888.0
363 CCL19 IL6 958.0
364 CCL19 TNF 960.0
365 CCL20 CXCL6 677.0
366 CCL20 KLRB1 451.0
367 CCL20 IL1A 978.0
368 CCL20 IL1B 988.0
369 CCL20 STAT3 838.0
370 CCL20 CCR5 873.0
371 CCL20 DEFB1 478.0
372 CCL20 CTLA4 505.0
373 CCL20 CXCL10 912.0
374 CCL20 IL17RA 607.0
375 CCL20 IL32 403.0
376 CCL20 STAT1 465.0
377 CCL20 CD83 468.0
378 CCL20 ITGAM 504.0
379 CCL20 ITGAX 523.0
380 CCL20 TLR4 569.0
381 CCL20 CCL23 692.0
382 CCL20 CXCL12 737.0
383 CCL20 CXCL9 741.0
384 CCL20 GNB1 812.0
385 CCL20 TNF 979.0
386 CCL20 IL6 980.0
387 CCL23 TFAP4 643.0
388 CCL23 CXCL6 537.0
389 CCL23 IL1B 461.0
390 CCL23 CCR5 501.0
391 CCL23 CXCL10 583.0
392 CCL23 CXCL9 594.0
393 CCL23 CXCL12 506.0
394 CCL23 IL6 440.0
395 CCL23 TNF 451.0
396 CCNDBP1 GNB1 470.0
397 CCNDBP1 LRRC57 619.0
398 CCR5 CXCL6 713.0
399 CCR5 KLRB1 618.0
400 CCR5 GZMK 728.0
401 CCR5 IL1A 515.0
402 CCR5 IL1B 707.0
403 CCR5 STAT3 918.0
404 CCR5 ITIH4 989.0
405 CCR5 FCGR2A 589.0
406 CCR5 TXN 454.0
407 CCR5 ENTPD1 468.0
408 CCR5 CD48 473.0
409 CCR5 CD52 483.0
410 CCR5 CD14 488.0
411 CCR5 CD83 582.0
412 CCR5 GNG12 600.0
413 CCR5 MRC1 604.0
414 CCR5 STAT1 608.0
415 CCR5 FCGR1A 629.0
416 CCR5 IL6 692.0
417 CCR5 HSPA4 709.0
418 CCR5 ITGAX 729.0
419 CCR5 CTLA4 747.0
420 CCR5 TLR4 758.0
421 CCR5 ITGAM 783.0
422 CCR5 TNF 807.0
423 CCR5 GNB1 912.0
424 CCR5 SAG 914.0
425 CCR5 CXCL9 928.0
426 CCR5 JUN 930.0
427 CCR5 CXCL10 946.0
428 CCR5 CXCL12 986.0
429 CCR5 ERVW-1 989.0
430 CCS UBP1 408.0
431 CCS FES 456.0
432 CCS TXN 401.0
433 CCS TXNRD1 615.0
434 CCS SOD2 514.0
435 CD14 IL1B 666.0
436 CD14 LUM 559.0
437 CD14 FCGR2A 783.0
438 CD14 TREM2 413.0
439 CD14 CXCL10 418.0
440 CD14 RAB32 440.0
441 CD14 FUT4 486.0
442 CD14 CD83 523.0
443 CD14 MRC1 536.0
444 CD14 FGR 567.0
445 CD14 ITGAX 596.0
446 CD14 IL6 613.0
447 CD14 FCGR1A 618.0
448 CD14 CHUK 637.0
449 CD14 TNF 678.0
450 CD14 ITGAM 948.0
451 CD14 TLR4 999.0
452 CD24 SOX9 478.0
453 CD24 EPCAM 845.0
454 CD24 STAT3 521.0
455 CD24 FCGR2A 459.0
456 CD24 HSPA4 473.0
457 CD24 CTLA4 505.0
458 CD24 MET 459.0
459 CD24 FUT4 565.0
460 CD24 FCGR1A 552.0
461 CD24 FGR 775.0
462 CD24 KRT18 636.0
463 CD24 CXCL12 457.0
464 CD24 SIRPA 517.0
465 CD24 IL6 506.0
466 CD24 ITGA6 743.0
467 CD24 TNF 478.0
468 CD24 ITGAM 662.0
469 CD24 KRT8 651.0
470 CD24 ITGAX 652.0
471 CD300LB TREM2 709.0
472 CD300LB TLR4 758.0
473 CD300LB FGR 521.0
474 CD300LB CD48 450.0
475 CD300LB ITGAM 525.0
476 CD48 KLRB1 420.0
477 CD48 FCGR2A 606.0
478 CD48 CTLA4 520.0
479 CD48 SLAMF6 821.0
480 CD48 CD58 824.0
481 CD48 FGR 462.0
482 CD48 CD52 742.0
483 CD48 TNF 501.0
484 CD48 ITGAM 730.0
485 CD48 ITGAX 470.0
486 CD52 CTLA4 604.0
487 CD52 FGR 459.0
488 CD52 ITGAM 465.0
489 CD52 TNF 512.0
490 CD58 FCGR2A 434.0
491 CD58 CTLA4 829.0
492 CD58 FUT4 421.0
493 CD58 SLAMF6 409.0
494 CD58 FCGR1A 402.0
495 CD58 ITGAM 458.0
496 CD58 IL6 459.0
497 CD58 ITGAX 473.0
498 CD58 TNF 519.0
